Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	14834	-	0	0	0	0	0	0	7	66	0	0	0	0	0	0	0	1	0	0	150	59	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-medication-type.json	737	4	1	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	21	1320	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3050	5	0	0	0	0	0	0	0	443	0	0	0	0	0	0	0	0	0	0	22	18	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3058	4	0	0	0	0	0	0	0	1912	0	0	0	0	0	0	0	0	0	0	23	13	0	0	0	0	0	1
fsh-generated/resources/MedicationDispense-example-dispense-with-atc.json	938	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	937	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3380	4	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	3	1	0	0	0	17	0	0	4	232	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	3	0	0	0	0	4	0	0	5	11	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	3	0	0	0	0	4	0	0	4	9	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	3	0	0	0	0	3	0	0	5	9	0	0	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AD.json	710	3	0	0	0	0	0	11	0	27	0	0	0	0	0	0	0	0	0	0	35	505	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ANY.json	904	3	0	0	0	0	0	14	0	6	0	0	0	0	0	0	0	1	0	0	44	233	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BELMMedProduct.json	3571	4	0	0	0	0	0	23	0	11	0	0	0	0	0	0	0	0	0	0	81	403	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BEMedicationLine.json	8258	5	1	0	0	0	0	130	0	65	0	0	1	0	0	0	0	2	0	0	404	777	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-BL.json	709	3	0	0	0	0	0	17	0	6	0	0	0	0	0	0	0	0	0	0	35	73	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CD.json	677	3	0	0	0	0	0	17	0	6	0	0	0	0	0	0	0	0	0	0	31	67	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	652	3	0	0	0	0	0	18	1	6	0	0	0	0	0	0	0	0	0	0	43	78	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DT.json	574	3	0	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	33	95	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DispenseRequestNeededCategory.json	1291	4	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	0	0	0	50	104	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DosageOverride.json	1204	3	1	0	0	0	0	16	0	6	0	0	0	0	0	0	0	0	0	0	59	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DosageOverrideReason.json	1270	3	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	50	92	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-EN.json	715	3	0	0	0	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0	32	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ExposureCategory.json	1404	4	0	0	0	0	0	16	0	7	0	0	0	0	0	0	0	0	0	0	51	96	0	0	0	2	0	1
