Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.medication.json	15323	-	0	0	0	0	0	0	4	76	0	0	0	0	0	0	0	1	0	0	177	156	0	0	0	7	0	4
fsh-generated/resources/CodeSystem-medication-exposuretype.json	641	5	1	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	1665	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medication-type.json	737	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	62	0	0	0	1	0	0
fsh-generated/resources/MedicationDispense-example-dispense-communitypharmacy-1med.json	3050	9	0	0	0	0	0	0	0	439	0	0	0	0	0	0	0	0	0	0	17	21	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-hospital.json	3058	9	0	0	0	0	0	0	1	1893	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-dispense-with-atc.json	938	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-example-minimal-dispense.json	937	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-medicationdispense-example-2.json	3380	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	15	0	0	0	0	0	1
fsh-generated/resources/NamingSystem-be-ns-cnk-codes.json	559	1	0	0	0	0	14	0	0	7	174	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-cti-extended-code.json	1075	2	1	0	0	0	3	0	0	7	11	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-prescription-ids.json	570	2	0	0	0	0	3	0	0	6	11	0	0	0	0	0	0	0	0	0	11	6	0	0	0	1	0	0
fsh-generated/resources/NamingSystem-be-ns-product-package-type.json	585	2	0	0	0	0	3	0	0	7	9	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0
fsh-generated/resources/Organization-apotheek-onder-de-toren.json	559	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-AD.json	829	2	0	0	0	0	0	13	0	38	0	0	1	0	0	0	0	0	0	0	36	413	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ANY.json	1023	2	0	0	1	0	0	14	0	15	0	0	0	0	0	0	0	0	0	0	61	172	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-BELMMedProduct.json	3690	5	0	0	0	0	0	30	0	34	0	0	0	0	0	0	0	0	0	0	113	237	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-BEMedicationLine.json	8719	10	0	0	0	0	0	267	0	197	0	0	0	0	0	0	0	1	0	0	438	863	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-BL.json	828	2	0	0	0	0	0	24	0	14	0	0	0	0	0	0	0	1	0	0	34	77	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-CD.json	796	2	1	0	0	0	0	21	0	12	0	0	0	0	0	0	0	0	0	0	33	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Class.json	771	3	0	0	0	0	0	17	1	17	0	0	0	0	0	0	0	0	0	0	42	72	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-DT.json	693	4	0	0	0	0	0	14	0	13	0	0	0	0	0	0	0	0	0	0	34	62	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DispenseRequestNeededCategory.json	1410	5	0	0	0	0	0	14	0	15	0	0	0	0	0	0	0	0	0	0	53	72	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-DosageOverride.json	1323	4	0	0	0	0	0	16	0	13	0	0	0	0	0	0	0	0	0	0	61	70	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-DosageOverrideReason.json	1389	3	0	0	0	0	0	15	0	12	0	0	0	0	0	0	0	0	0	0	54	71	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-EN.json	834	2	0	0	0	0	0	42	0	10	0	0	0	0	0	0	0	0	0	0	40	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ExposureCategory.json	1523	3	1	0	0	0	0	16	0	15	0	0	0	0	0	0	0	0	0	0	70	144	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-II.json	920	2	0	0	0	0	0	16	0	11	0	0	0	0	0	0	0	0	0	0	44	55	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-INT.json	901	2	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	45	51	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-KMEHRMS.json	171732	139	0	0	0	0	0	1008	0	955	0	0	1	0	0	0	0	4	0	0	3827	3806	0	1	0	62	0	17
fsh-generated/resources/StructureDefinition-PQ.json	995	2	0	0	0	0	0	9	0	9	0	0	0	0	0	0	0	0	0	0	34	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-REAL.json	958	2	0	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	0	0	34	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-RTO.json	805	2	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	1	0	0	39	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ST.json	706	2	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	31	45	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-TS.json	825	2	1	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	31	49	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-Untyped.json	821	2	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	33	47	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-VisibilityFlag.json	1312	2	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	0	49	80	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-be-medicationdispense.json	8017	11	0	0	0	0	0	204	0	222	0	0	1	0	0	0	0	1	0	0	689	1046	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-be-model-medicationdispense.json	8948	8	0	0	0	0	0	39	0	42	0	0	0	0	0	0	0	0	0	0	176	202	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-be-model-medicationline.json	14439	15	0	0	0	0	0	76	0	84	0	0	0	0	0	0	0	0	0	0	314	359	0	0	0	5	0	1
fsh-generated/resources/ValueSet-be-vs-dispenser-types.json	1085	2	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	14	3063	0	0	0	1	0	0
fsh-generated/resources/ValueSet-medication-exposure-category-vs.json	773	2	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	9	187	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-exposuretype-vs.json	510	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	0	0	0
fsh-generated/resources/ValueSet-medication-type-vs.json	507	1	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	32	0	0	0	1	0	0
